,tweet,topic_1,compound_score,positive_score,negative_score,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,sentiment
34,hackingbutlegal Really My FYP is like 80 Ukraine. ,Ukraine,0.3612,0.263,0.0,0,0,0,0,0,0,1
35,"RT ZarinaZabrisky: To save the lives of Ukrainians, the Ministry of Defense of Ukraine support the initiative of the international IT comm ",Ukraine,0.7506,0.28,0.0,Ukrainian,0,0,0,0,0,1
36,All roads lead to Belarus the origin of the 40 mile long Russian convoy near Kyiv. If it be true Russia must hav https://t.co/Bj8k7E0eqY ,Kyiv,0.4215,0.109,0.0,Russian,Russia,0,0,0,0,1
37,"RT ThePandaFama1: An 80yearold showed up to join the Ukrainian army, carrying with him a small case with 2 tshirts, a pair of extra pan ",Ukrainian,0.296,0.095,0.0,0,0,0,0,0,0,1
38,RT ReallyAmerican1: Never forget: The GOP frontrunner for 2024 spent the past 6 years as Putins biggest cheerleader. You cant unring th ,Putin,0.3749,0.158,0.0,0,0,0,0,0,0,1
39,"RT SevaUT: the entire foundation of putins legitimacy is based on premise, shared even by the skeptics, that at least he saved us from t ",Putin,0.5859,0.188,0.051,0,0,0,0,0,0,1
40,"RT nextatv: Zelensky recalled ambassadors from Kyrgyzstan and Georgia for consultations According to him, Kyrgyzstan supports Russian ",Zelensky,0.3612,0.135,0.0,Russian,Russia,0,0,0,0,1
41,RT lukeming: Bravest individual ever to speak in this chamber. Bravo. Ukraine https://t.co/JiFDgmJPO2 ,Ukraine,0.5106,0.216,0.0,0,0,0,0,0,0,1
42,"RT darpananilsingh: As Ukraine catches global attention, the world must also wake up and prevent what is left of Yemen in seven years of U ",Ukraine,0.0258,0.046,0.0,0,0,0,0,0,0,1
43,RT MirrorRoyal: William and Kate thanked for support by Ukraine president amid Russian invasion https://t.co/DckaUHk2BS https://t.co/ZoQFs… ,Ukraine,0.6808,0.286,0.0,Russian,Russia,0,0,0,0,1
44,nextatv Kyrgyzstan stands with Ukraine Glory to Ukraine ,Ukraine,0.5423,0.333,0.0,0,0,0,0,0,0,1
45,Pray for Ukraine ,Ukraine,0.3182,0.535,0.0,0,0,0,0,0,0,1
46,RT korrinesky: We also need anyone who can run a mental health support and a listening service for the students still in Ukraine. Areas l ,Ukraine,0.4019,0.114,0.0,0,0,0,0,0,0,1
47,RT dbanna: Sempre un dimenticabile Casini al Senato: armiamoci e partite. putin ci ha assalito perch siamo deboli vero ma nostra ,Putin,0.34,0.112,0.0,NATO,0,0,0,0,0,1
48,"RT Jonteinspain: Remainers must be extremely proud of the way their God the European Union, is helping Russia by continuing to spend bil ",Russia,0.7713,0.278,0.0,0,0,0,0,0,0,1
49,"Instead of paving Russias path to greatness, invading Ukraine would ensure Putins infamy by leaving his country https://t.co/xw3wFxRrTm ",Putin,0.3818,0.133,0.0,Ukraine,Russia,0,0,0,0,1
50,"RT JoyceWhiteVance: This is a fascinating, must read thread on how Putin uses the internet to manipulate people with misinformation. Sound ",Putin,0.296,0.147,0.097,0,0,0,0,0,0,1
51,"JoJoFromJerz Those who support Ukraine also support WEF, NWO, KlausSchwab and GeorgeSoros hypocrisy at its https://t.co/0oEnlvLKzP ",Ukraine,0.6597,0.278,0.0,0,0,0,0,0,0,1
52,RT RShivshankar: Wonderful to see European countries being so welcoming of refugees from Ukraine. This is humanity at its best. Hope they ,Ukraine,0.9386,0.447,0.0,0,0,0,0,0,0,1
53,"watchingspirals Putin is the only one demonized tho, that is what they meant lmfao. ",Putin,0.5423,0.212,0.0,0,0,0,0,0,0,1
54,"Russia and Ukraine are important centres of the global semiconductor supply chain, providing rare metals like pal https://t.co/Xunyf0GZgI ",Ukraine,0.5106,0.212,0.0,Russia,0,0,0,0,0,1
55,"RT Sites4Congress: While the Trump administration sought to weaken NATO and support Putin, the BIDEN administration has strengthened NATO ",Putin,0.4019,0.226,0.115,NATO,0,0,0,0,0,1
56,In solidarity with Ukraine I donated twice the equivalent of all the money my small business ybierling made in https://t.co/vCbNgWYSA5 ,Ukraine,0.296,0.109,0.0,0,0,0,0,0,0,1
57,RT MEAIndia: Foreign Secretary is calling in Ambassadors of Russia and Ukraine to reiterate our demand for urgent safe passage for Indian ,Ukraine,0.4939,0.187,0.06,Russia,0,0,0,0,0,1
58,False thing of the day: 70 fighter jets for Ukraine European partner countries will hand over 70 MiG29 and Su25 https://t.co/8JjElJKMD8 ,Ukraine,0.5859,0.202,0.0,0,0,0,0,0,0,1
59,RT Reuters: The moment dozens of diplomats from the European Union and United States walked out of a speech by Russian Foreign Minister Se ,Russian,0.4215,0.113,0.0,Russia,0,0,0,0,0,1
60,"RT campbellclaret: Long read. Worth reading. Yes, He Would: Fiona Hill on Putin and Nukes POLITICO https://t.co/7XTqayKczo ",Putin,0.5574,0.235,0.0,0,0,0,0,0,0,1
61,"RT Ukraine: Two leaders, two worlds... Freedom will prevail https://t.co/TG7Q8Yr4xp ",Ukraine,0.6369,0.318,0.0,0,0,0,0,0,0,1
62,NDTV News Ukraine President gets standing ovation after addressing European Parliament: We have a desire to see our children alive ,Ukraine,0.6486,0.238,0.0,0,0,0,0,0,0,1
63,"RT airnewsalerts: Alert : Indian Embassy in Kyiv, Ukraine advises all Indian Nationals including students to leave Kyiv urgently today ",Ukraine,0.25,0.108,0.059,Kyiv,0,0,0,0,0,1
64,Takes courage to withstand such onslaught calling him brave is an understatement God be with him and with Ukraine ,Ukraine,0.8271,0.352,0.0,0,0,0,0,0,0,1
65,RT SmileyNews: Ukrainian tennis champion ElinaSvitolina has pledged to donate any winnings she receives for this years Womens Tennis As ,Ukrainian,0.8126,0.291,0.0,0,0,0,0,0,0,1
66,RT AllySammarco: Why arent all the Republican freedom fighters with stockpiles of AK47s headed to Ukraine right now to fight ,Ukraine,0.34,0.168,0.152,0,0,0,0,0,0,1
67,RT Reuters: The moment dozens of diplomats from the European Union and United States walked out of a speech by Russian Foreign Minister Se ,Russian,0.4215,0.113,0.0,Russia,0,0,0,0,0,1
68,"RT nytimes: President Volodymyr Zelensky of Ukraine has become a hero for many Afghans who felt abandoned after their own president, Ashra ",Ukraine,0.1531,0.141,0.117,Zelensky,0,0,0,0,0,1
69,"RT MikeSington: Senator Chris Murphy reveals the United States and allies are not just going to freeze Putin and the oligarchs assets, th ",Putin,0.5719,0.222,0.0,NATO,0,0,0,0,0,1
70,RT biannagolodryga: Unbelievable. This is Putins police state. This is the Kremlin denying millions of Russians access to the truth behin ,Putin,0.1779,0.167,0.098,Russian,Russia,0,0,0,0,1
71,RT CharlesLister: Ukraines military has captured its 1st TOS1 thermobaric MRL from Russia and it looks like all 24 tubes are loade ,Ukraine,0.3612,0.106,0.0,Russia,0,0,0,0,0,1
72,New: U.S. officials ask Intelligence Agencies on status of Putins mental health. When he heard about sanctions he https://t.co/DtKndE8rE0 ,Putin,0.4767,0.147,0.0,0,0,0,0,0,0,1
73,"RT TheRickyDavila: President Zelenskyy of Ukraine gave a powerful passionate speech to the European Parliament today, so much so that that ",Ukraine,0.7351,0.256,0.0,Zelensky,0,0,0,0,0,1
74,RT ZelenskyyUa: Just had a conversation with POTUS. The American leadership on antiRussian sanctions and defense assistance to Ukraine w ,Ukraine,0.128,0.081,0.0,Zelensky,Russian,Russia,0,0,0,1
75,RT chrisavramidis: A big demonstration in Greece burning the NATO flag Ukraine https://t.co/2oIx15CYYb ,Ukraine,0.1027,0.113,0.0,NATO,0,0,0,0,0,1
76,Ukraine is not the aggressor. It is a peaceful country. https://t.co/L2zUeiG6u8 ,Ukraine,0.5848,0.375,0.0,0,0,0,0,0,0,1
77,RT ZelenskyyUa: Just had a conversation with POTUS. The American leadership on antiRussian sanctions and defense assistance to Ukraine w ,Ukraine,0.128,0.081,0.0,Zelensky,Russian,Russia,0,0,0,1
78,RT sbreakintl: Intelligence acquired since the beginning of the Russian military operation over Ukraine has shown an immense lack of logis ,Ukraine,0.2023,0.127,0.094,Russian,Russia,0,0,0,0,1
79,"RT SenatorDurbin: While the Ukrainian people put up an historically brave fight in defense of their homeland, the United States should des ",Ukrainian,0.6249,0.272,0.092,NATO,0,0,0,0,0,1
80,RT MarinaPurkiss: A Tory party bankrolled by Putins pals A gaping legal framework to allow Putins pals to freely launder their money in ,Putin,0.7906,0.346,0.0,0,0,0,0,0,0,1
81,RT KyivIndependent: BREAKING: European Parliament recommends giving Ukraine EU candidate status. The decision follows President Zelensk ,Ukraine,0.5106,0.235,0.0,Kyiv,0,0,0,0,0,1
82,gtconway3d GenMhayden I think Biden used up all the Ukraine favors and look where that got them. ,Ukraine,0.25,0.118,0.0,0,0,0,0,0,0,1
83,"As a child, Putin grew up on a diet of stories about German atrocities and Russian bravery in the siege of Leningr https://t.co/PRX5tSCB7A ",Putin,0.4939,0.138,0.0,Russian,Russia,0,0,0,0,1
84,Please follow this New Page for inside updates from Ukraine. We have sources in various places throughout the country. ,Ukraine,0.3182,0.113,0.0,0,0,0,0,0,0,1
85,"RT OccupyDemocrats: If youre a Democrat who thinks that its great news that US officials just announced that Russias offensive on Kyiv, ",Kyiv,0.2732,0.157,0.115,Russia,0,0,0,0,0,1
86,RT AllySammarco: Why arent all the Republican freedom fighters with stockpiles of AK47s headed to Ukraine right now to fight ,Ukraine,0.34,0.168,0.152,0,0,0,0,0,0,1
87,davidlale BellaWallerstei Pakistan has nukes and is dealing with Putin. Pull aid better yet sanction them. They https://t.co/tf9SvA3niz ,Putin,0.4404,0.146,0.0,0,0,0,0,0,0,1
88,"RT FedorovMykhailo: Crypto community continue to support Ukraine. I am grateful to gavofyork, who made an impressive donation of 5M from ",Ukraine,0.8402,0.346,0.0,0,0,0,0,0,0,1
89,RT jasoncorcoran: Bank run accelerates in Moscow after Putin imposed crippling capital controls last night to protect a collapsing econo ,Putin,0.0258,0.118,0.158,0,0,0,0,0,0,1
90,RT ZelenskyyUa: Just had a conversation with POTUS. The American leadership on antiRussian sanctions and defense assistance to Ukraine w ,Ukraine,0.128,0.081,0.0,Zelensky,Russian,Russia,0,0,0,1
91,"RT Aafia209237: Plz Help Modi ji.. Received this from Indian Students in Sumy, Ukraine https://t.co/x4z9Pjk2ss https://t.co/DpXBRPIxyd ",Ukraine,0.4588,0.222,0.0,0,0,0,0,0,0,1
92,RT maydaymindy9: Melania Trump asking for donations for Ukraine is like Nurse Ratched caring for the sick ,Ukraine,0.34,0.248,0.143,0,0,0,0,0,0,1
93,Those steps kept our economy going strong and Putin at bay He should but probably wontI hope Im wrong. https://t.co/4OAp1g92Cj ,Putin,0.2144,0.221,0.153,0,0,0,0,0,0,1
94,RT DesertyoSemite: JillWineBanks Dont forget which Republicans voted against sending aid to Ukraine. https://t.co/hpAk2Jtzxm ,Ukraine,0.1695,0.114,0.0,0,0,0,0,0,0,1
95,"RT IanRicksecker: On 3rd December, the Ukrainian Supreme Court found widespread falsification of the results, annulled the runoff, and or ",Ukrainian,0.5574,0.159,0.0,0,0,0,0,0,0,1
96,"RT davemffc: What will you be doing ConorBurnsUK I hope your 10,000 will be donated to the Ukraine relief fund.look forward to your re ",Ukraine,0.7184,0.222,0.0,0,0,0,0,0,0,1
97,RT atrupar: The GOP line today is that Biden didnt do enough to arm Ukraine. Theyre saying this with straight faces two years after all ,Ukraine,0.2263,0.073,0.0,0,0,0,0,0,0,1
98,RT MargaretAtwood: The Improbable Rise and Endless Heroism of Volodymyr Zelensky https://t.co/xjjj8eYvo6 via gqmagazine ,Zelensky,0.5859,0.226,0.0,0,0,0,0,0,0,1
99,"RT duty2warn: In a piece written by the Huff Post, Howard Stern slammed Republicans for praising Putin, who he called an animal and St ",Putin,0.5423,0.137,0.0,0,0,0,0,0,0,1
100,RT thomasafine: Ukraine thanks the FSB for telling them where to find the assassins. ,Ukraine,0.4404,0.182,0.0,0,0,0,0,0,0,1
101,ZelenskyyUa Be strong Ukraine God bless you GeorgianpeopilwithUkraine Sorry for our government ... https://t.co/vzjjEbRHUg ,Ukraine,0.7845,0.421,0.067,Zelensky,0,0,0,0,0,1
102,RT PDocumentarians: Ukraine Territorial Defense Forces volunteers on the outskirts of Kyiv make morning tea by their defensive positions ,Ukraine,0.1531,0.133,0.0,Kyiv,0,0,0,0,0,1
103,RT PatPorter76: Off ramps proposals will multiply over coming weeks. Worth noting Ukraine also gets to decide what its willing to suspe ,Ukraine,0.2263,0.083,0.0,0,0,0,0,0,0,1
104,RT RitaKonaev: Ukraine is giving a masterclass in how to shape the information environment in your favor. I want to note some truly inspir ,Ukraine,0.8074,0.341,0.0,0,0,0,0,0,0,1
105,"RT BernieSanders: In 2017, it was estimated that Putin was worth 200 billion which, at the time, made him wealthier than Bill Gates amp Jef ",Putin,0.6249,0.181,0.0,0,0,0,0,0,0,1
106,RT sbreakintl: Intelligence acquired since the beginning of the Russian military operation over Ukraine has shown an immense lack of logis ,Ukraine,0.2023,0.127,0.094,Russian,Russia,0,0,0,0,1
107,"RT JournalistJG: joncoopertweets Anonymous, if youre listening, please expose: Trump loans from Russian oligarchs Russia to GOP lead ",Russian,0.1779,0.116,0.08,Russia,0,0,0,0,0,1
108,HoborMallow Mikechiefsfan You trust Putin to stay rational ,Putin,0.5106,0.32,0.0,0,0,0,0,0,0,1
109,RT kaitlancollins: I care less about what hour of the day or night this happens and more about the fact that what Vladimir Putin is doing ,Putin,0.4939,0.118,0.0,0,0,0,0,0,0,1
110,"RT BamaStephen: 4. violent invasion of Ukraine, we should remember the heroism of Lt. Col. Vindman and all who testified truthfully reg ",Ukraine,0.4215,0.226,0.132,0,0,0,0,0,0,1
111,RT kiraincongress: I spent most of the day checking on points of defense in Kyiv. My resistance team is helping out organize the supplies ,Kyiv,0.4019,0.15,0.0,0,0,0,0,0,0,1
112,CREWcrew I hope Biden call out Trumps remarks on Putin on SOTU tonight. ,Putin,0.4404,0.209,0.0,0,0,0,0,0,0,1
113,"RT CrapballsMcGee: Sasha chose to stay in Ukraine to take care of her animal rescues. Last night, a Russian rocket hit her home. Her son f ",Ukraine,0.6705,0.2,0.0,Russian,Russia,0,0,0,0,1
114,RT AlenaAlex16: Im curious Do you trust the images coming out of Ukraine FollowMe ,Ukraine,0.6808,0.318,0.0,0,0,0,0,0,0,1
115,They still better be careful Putin probably has enough on them to get them convicted of treason. https://t.co/4iiCbWEHUK ,Putin,0.1531,0.201,0.129,0,0,0,0,0,0,1
116,RT DerParrot: Here is every single member of the European parliament who voted against supporting Ukraine. A mix of farright and farlef ,Ukraine,0.4404,0.127,0.0,0,0,0,0,0,0,1
117,RT ZelenskyyUa: Just had a conversation with POTUS. The American leadership on antiRussian sanctions and defense assistance to Ukraine w ,Ukraine,0.128,0.081,0.0,Zelensky,Russian,Russia,0,0,0,1
118,RT TheBabylonBee: Putin Receives Nobel Prize In Medicine For Ending COVID Pandemic https://t.co/yPvToyGbw1 ,Putin,0.5106,0.216,0.0,0,0,0,0,0,0,1
119,lesiavasylenko Bless Ukraine ,Ukraine,0.4215,0.583,0.0,0,0,0,0,0,0,1
120,"RT ChikeCarterIII: I Stand With Putin, It is his right to protect Russia RussiaUkraine IStandWithPutin https://t.co/nzpLUtAgrV ",Putin,0.3818,0.157,0.0,Ukraine,Russia,0,0,0,0,1
121,"RT eleven45pm: Putin was on the ground in Africa for 4 good years, helping our fathers fight against colonialism and external aggressions ",Putin,0.0516,0.189,0.181,0,0,0,0,0,0,1
122,"RT joncoopertweets: I wont EVER forget Trump, the GOP, and Fox News defended Putin before this invasion. Whos with me ",Putin,0.1695,0.085,0.0,0,0,0,0,0,0,1
123,Polkadot Founder Gavin Wood Donates 5M In DOT To Ukraine Responding to the founders generous off... https://t.co/opfHWXtPL5 ,Ukraine,0.5106,0.171,0.0,0,0,0,0,0,0,1
124,RT christogrozev: Ukraines media savvy authorities appear to spend enough attention to keeping Ukraines civilian population motivated an ,Ukraine,0.4588,0.15,0.0,0,0,0,0,0,0,1
125,It seems Ukrainian cities are under a coordinated air raid. I hope all is well. Ukraine ,Ukraine,0.6124,0.294,0.0,Ukrainian,0,0,0,0,0,1
126,RT Deekay8: Does your gf understand whats happening between Russia and Ukraine Or shes just beautiful https://t.co/XKHjys7f… ,Ukraine,0.5994,0.196,0.0,Russia,0,0,0,0,0,1
127,"RT dkaleniuk: While international leaders are heading to Poland at the border with Ukraine for photo opportunities, people at the East of ",Ukraine,0.3818,0.11,0.0,0,0,0,0,0,0,1
128,RT playinglesshurt: The magnificent National Opera House in Kyiv Ukraine. May they soon be making beautiful music again istandWithUkrain ,Ukraine,0.8316,0.315,0.0,Kyiv,0,0,0,0,0,1
129,RT andersaslund: What is happening in Ukraine is truly awful. Good peaceful people are being massacred by authoritarian kleptocrat Putin ,Putin,0.7184,0.321,0.107,Ukraine,0,0,0,0,0,1
130,RT TristanSnell: You know who just called Zelensky and offered help without extorting him Joe Biden. ,Zelensky,0.4019,0.153,0.0,0,0,0,0,0,0,1
131,"RT BinduCongressi: SpeakUpForOurStudents SpeakUpForOurStudents PM, Dont you hear cries of thousands students stranded in Ukraine http ",Ukraine,0.3089,0.131,0.0,0,0,0,0,0,0,1
132,RT Antibloviator: itsJeffTiedrich The chart showing the drop in GOP support for Putin: https://t.co/wSYsuQKpoe ,Putin,0.1531,0.161,0.125,0,0,0,0,0,0,1
133,RT drlaxmanbjp: OperationGanga PM Modi has launched Operation Ganga to bring back Indians from Ukraine. Like earlier operations such as ,Ukraine,0.4588,0.182,0.0,0,0,0,0,0,0,1
134,"RT aelenaltria: I was asked, How can I help Russian protesters Ill try to keep it easy Share, RT, and donate First, support lives in ",Russian,0.7003,0.326,0.146,Russia,0,0,0,0,0,1
135,"I like Ukraine and I like Russia. Rather than condemning a country as a single entity, lets look at the individual https://t.co/zikB5cjmVp ",Ukraine,0.6124,0.238,0.0,Russia,0,0,0,0,0,1
136,"RT Reuters: It is not a war. Its a genocide because we have a crazy man that believes that he has the whole world hostage, UkrainianAm ",Ukrainian,0.1891,0.119,0.09,0,0,0,0,0,0,1
137,RT sri50: ET press meet Suriyaoffl starts his speech with a moment of silence for our students in Ukraine Great gesture https://t… ,Ukraine,0.6249,0.17,0.0,0,0,0,0,0,0,1
138,Okay but like fr this stuff is making me depressed. Pray for Ukraine ,Ukraine,0.296,0.363,0.211,0,0,0,0,0,0,1
139,"RT nhanlam83: The Belgian Prime Minister always stood up and called for peace for Ukraine. A great act, and it will be even better when he ",Ukraine,0.8885,0.323,0.0,0,0,0,0,0,0,1
140,EchoMskNews EchoMskRu FREE Ukraine ,Ukraine,0.6166,0.573,0.0,0,0,0,0,0,0,1
141,"RT RepSwalwell: Why am I saying it, Tucker BecauseyousidedwithPutin. You, Trump amp Pompeo cheered Russia on until Americans ral ",Putin,0.5106,0.163,0.0,Russia,0,0,0,0,0,1
142,"RT nextatv: In this month, wizzair airline provides one hundred thousand free tickets for refugees from Ukraine on all flights in con ",Ukraine,0.5106,0.136,0.0,0,0,0,0,0,0,1
143,RT timfarron: The government must not let this man realise the value of any sale. Decisive pressure from oligarchs on Putin will only com ,Putin,0.2732,0.156,0.08,0,0,0,0,0,0,1
144,"RT ThomasVLinge: Kharkivs Freedom Square, before and after. Ukraine https://t.co/1vpf8Pgdp0 ",Ukraine,0.6369,0.318,0.0,0,0,0,0,0,0,1
145,RT crownagents: A huge thank you for your rapid engagement and support EntainGroup By donating to our Ukraine Emergency Response Appeal ,Ukraine,0.7845,0.374,0.093,0,0,0,0,0,0,1
146,"RT RUOligarchJets: I stand with Ukraine and will support efforts to go after the Russian oligarchs, them, and their assets as Biden has ju ",Ukraine,0.5267,0.173,0.0,Russian,Russia,0,0,0,0,1
147,"RT Reuters: U.S. airplane manufacturer Boeing said it was suspending parts, maintenance and technical support for Russian airlines as well ",Russian,0.5859,0.211,0.0,Russia,0,0,0,0,0,1
148,SuhailShatila Yes straight after the meeting re Russian Ukraine ,Ukraine,0.5574,0.397,0.0,Russian,Russia,0,0,0,0,1
149,RT DDNewslive: BreakingNews IndiainUkraine releases Urgent advisory Indian Nationals advised to leave Kharkiv Immediately Ukraine ,Ukraine,0.1531,0.113,0.075,0,0,0,0,0,0,1
150,"RT eurogamer: Ukraine calls on PlayStation, Xbox to stop supporting Russian markets https://t.co/VPju1OgAaX ",Ukraine,0.1779,0.18,0.137,Russian,Russia,0,0,0,0,1
151,"Vlad, are you listening This is not just Ukraine This is Moscow feeling the wind of change https://t.co/Klvh8Z3u3J ",Ukraine,0.128,0.081,0.0,0,0,0,0,0,0,1
152,RT NBCNews: Russian opposition politician Alexey Navalny calls on Russians and people worldwide to take to the streets to fight for peace ,Russian,0.2263,0.134,0.1,Russia,0,0,0,0,0,1
153,RT MayorofLondon: IMPORTANT Weve been advised that the best way to help the people of Ukraine is via financial donationsnot donat ,Ukraine,0.8567,0.344,0.0,0,0,0,0,0,0,1
154,RT DoberGroup: 2 Direct support to Ukraines Armed Forces (https://t.co/NJLtWnlMdj) Swift (UAHUSDGBPEURCHFAUDCNYCADJPY) ,Ukraine,0.5423,0.333,0.0,0,0,0,0,0,0,1
155,RT sambitswaraj: Operation Ganga: PM Modi asks Air Force to join evacuation efforts in Ukraine https://t.co/nQGsuoOuT5 via NaMo App https… ,Ukraine,0.296,0.104,0.0,0,0,0,0,0,0,1
156,RT lyrablackss: please spread this info any refugee from ukraine (regardless of nationality) can travel from zhony (the ukrainian bord ,Ukraine,0.3182,0.108,0.0,Ukrainian,0,0,0,0,0,1
157,RT GMB: Direct military intervention into Ukraine by forces from NATO countries would be the quickest way to precipitate effectively a co ,Ukraine,0.4404,0.127,0.0,NATO,0,0,0,0,0,1
158,"RT inquirerdotnet: UST STANDS IN SOLIDARITY WITH UKRAINE LOOK: The University of Santo Tomas lit up their Main Building, Arch of the C ",Ukraine,0.4466,0.123,0.0,0,0,0,0,0,0,1
